mean_htc,htc_0,htc_1,htc_2,htc_3,htc_4,htc_5,htc_6,htc_7,htc_8,htc_9,htc_10,htc_11,htc_12,htc_13,htc_14,htc_15,htc_16,htc_17,htc_18,htc_19,htc_20,htc_21,htc_22,htc_23,htc_24,htc_25,htc_26,htc_27,htc_28,htc_29,htc_30,htc_31,htc_32,htc_33,htc_34,htc_35,htc_36,htc_37,htc_38,htc_39,htc_40,htc_41,htc_42,htc_43,htc_44,htc_45,htc_46,htc_47,htc_48,htc_49,htc_50,htc_51,htc_52,htc_53,htc_54,htc_55,htc_56,htc_57,htc_58,htc_59,htc_60,htc_61,htc_62,htc_63,htc_64,htc_65,htc_66,htc_67,htc_68,htc_69,htc_70,htc_71,htc_72,htc_73,htc_74,htc_75,htc_76,htc_77,htc_78,htc_79,htc_80,htc_81,htc_82,htc_83,htc_84,htc_85,htc_86,htc_87,htc_88,htc_89,htc_90,htc_91,htc_92,htc_93,htc_94,htc_95,htc_96,htc_97,htc_98,htc_99,htc_100,htc_101,htc_102,htc_103,htc_104,htc_105,htc_106,htc_107,htc_108,htc_109,htc_110,htc_111,htc_112,htc_113,htc_114,htc_115,htc_116,htc_117,htc_118,htc_119,htc_120,htc_121,htc_122,htc_123,htc_124,htc_125,htc_126,htc_127,htc_128,htc_129,htc_130,htc_131,htc_132,htc_133,htc_134,htc_135,htc_136,htc_137,htc_138,htc_139,htc_140,htc_141,htc_142,htc_143,htc_144,htc_145,htc_146,htc_147,htc_148,htc_149,htc_150,htc_151,htc_152,htc_153
123.3,113.9,115.4,117.2,114.8,108.9,105.4,103.7,104.1,108,108.5,115.5,113.3,113.4,117.4,118,120.1,116.8,113.3,113.4,112.4,112.3,117.5,119.9,120.8,121,118.9,115.3,112.5,111.6,109.5,113.4,114.9,114.2,111.9,112.9,120.4,122.8,121.7,121.8,122,120.6,125.1,135.6,147.3,146.7,146.8,149.9,149.3,149.4,153.6,157.5,169.9,172.2,158.8,154.9,152.3,150.5,151.1,146.4,144.3,139.9,143.9,140,131.2,128.8,125.3,124.4,124.5,121.1,117.6,118.1,116.6,116.1,115.7,117.4,116.1,115.9,118.1,115.3,104.3,98.6,97.6,100.6,98.9,98.8,99.7,103.3,110.2,115.5,111.9,110.3,113.5,109.8,98.9,109,104.6,103.9,102.1,102.4,106.1,107.9,110.7,118.9,118.7,118.8,125.1,127.9,130,133.5,133.6,135,135.9,138.9,140.4,140.2,141.6,143.1,141.3,147.3,149.8,147.8,145,128.8,121.2,129.4,131.4,129.3,126.5,125.1,122.5,119.5,112.7,110.1,112,115.3,116.3,116.7,116.4,118.1,120.6,123.8,126.5,126.4,127.5,129,127.4,128.1,131.8,133.5,127.9,117.4,116.3,120.6,124.5
171.5,180.9,180.4,186.8,193.5,194.6,186.4,185.2,185.5,185.4,183.9,182.2,175.2,172.3,169.7,168.4,167.8,167.4,166.9,170,171.7,171.5,175.8,174.8,174.7,172.4,166.5,166.3,167.5,167.3,162.3,163.3,162.7,162.2,162.5,162.9,166.5,169.2,170.2,170,173.6,174.1,175.7,176,174.7,172.4,169.6,170,173.1,174.1,175.6,174.8,184.8,186.1,183.2,178.9,176.9,175.9,174.3,171.2,167.4,161.9,155.5,156.8,160.1,162.8,164.1,163.3,164.9,165.3,163.8,166,166.1,167.1,169.3,169.6,171.2,169.3,168.7,168.1,163.6,164.2,167,169.5,170.1,170.1,171.3,173.9,173.8,174.9,177,175.7,174.2,170.4,170.9,174.2,175.3,175.4,177.5,177.8,179.2,177.7,174.1,173.2,174.8,174.5,176,175.1,173.7,173.5,174.9,173.7,172.2,170.6,169.3,168.7,168.3,170.4,172.6,173.4,174.5,174.5,173.6,173.9,169.1,170.1,170.9,171.3,171.8,170.5,170.9,168.8,168.6,166.6,164.8,164.1,163.6,160.4,160.1,161.3,162.5,167.7,169.8,173.8,168.7,168.4,168.7,169,171.5,173.3,174.1,173.9,168.4,168.9,168.5
148.6,149.4,149.5,151.8,152.6,150.7,150.4,150.3,148.4,146.5,145.5,146.6,146.2,147.3,148.7,148.6,150.8,151.4,150,149.7,148.2,147.7,149,149,149.6,149.4,148.9,148.1,147.3,146.7,146.8,146.3,146.9,146.6,146.7,147.1,147.1,146.1,145.1,145.3,145,144.9,143.4,143.5,143.6,144.8,144.6,144.4,144.4,144.7,147.5,149.5,150.4,150.9,150.5,150.6,151,150.5,151,150.4,151.6,151.4,153.1,153.3,153.5,154.3,154.7,155.8,155.6,155.7,156.1,155.1,155.8,156,156.9,157.5,158.3,159.8,158.8,158,157.8,157.7,156,156,155.4,156.7,156.6,156.9,156.4,156.7,153.4,153.2,153.3,150.8,151.1,151.5,152.8,150.6,149.3,149,148.3,148.5,147.5,146.6,146.2,146.6,146,145.7,146.1,147,147.9,148.6,148.5,148.8,148.5,148.7,147.9,148.2,149.6,149.6,149,148.2,148.6,148.5,144.8,146.6,146.8,146.8,145.9,145.4,144.3,144,144.5,143.7,142.7,142.2,141.8,139.8,139.8,140.3,140.1,139.1,139.2,139.2,138.8,137.9,138.4,139.2,140.3,142.1,143.1,143.5,144.6,145.6,145.2
166.7,163.3,160.5,153.5,150.6,155.3,156.5,154.9,156.9,155.3,157.9,157.9,155,153.9,156.4,162,160.4,165.8,167.6,167.8,172.3,176.5,173.7,172,171.5,169.3,167.3,167.6,166.7,168.9,167.6,164.9,161.1,156.7,155.9,150.2,152.3,151.1,154,154.6,154.3,156.2,156,157.4,159.4,163.2,164.5,163.4,165,168.5,168.3,162.2,161.5,155.4,159.4,154.5,154.7,156.9,154.8,155.1,153.4,152.6,150.1,153.1,151.1,152.6,149.9,151.2,151.5,150.6,150.2,151.2,149.2,150.5,150.6,152.2,155.3,158.7,158.2,159.4,159.9,164.6,160.5,168.4,166.5,163.4,166.2,165.7,166.7,169,173.5,174.7,176.1,177.9,177.7,176,176.2,177,175.3,177.4,181.2,184.1,188.2,181.2,176.2,175,172.4,174.1,176.2,177.4,178.2,172.1,168.5,174.3,173.3,169.1,168.9,169.7,171.9,174.1,173.5,175.2,175.1,174.9,175,170.6,170,171.2,169.2,172.9,178.5,186.2,183.3,179.3,174.9,175.4,178.2,175,173.2,171.7,171.5,172.9,176.9,178,180.4,181.5,181.7,183.2,184.7,185.1,186.1,185.6,183.3,183.5,184.3
246.3,248.8,249.4,249,247.6,245.3,244.9,240.7,238.6,236.8,233.6,232.7,232,233.6,237,238.3,234,233.9,234.7,232.6,235.1,238.2,241.2,241.8,242.6,244,244,244.7,246.2,246.2,244.3,244.2,246.3,243,236.8,237.8,240.5,235.8,241,245,247.9,252.3,248.8,247.4,245.8,246,246.9,247.5,246.3,246.1,246.1,248.5,251.7,251.2,250.2,251.6,250.1,246.4,245.8,246.3,248.8,251.2,247.3,253.8,250.2,250,251.8,251.6,249.8,242.3,245.9,245.3,247.5,245.7,245.7,244.7,242.2,239.4,233.1,232.5,236.8,238.2,240.4,244.8,243.6,243.7,238.8,237.9,237.8,236.7,234.7,237.9,236.2,238.4,240.8,242.2,243.8,248.2,248.2,248.6,249.9,257.8,258.4,261,268.7,267.7,265.2,268,275.5,276.9,277.9,268.2,267.7,260.8,258.3,257.3,257.6,261.3,261.6,256.8,255.8,254.7,251.6,248.9,246.4,245.2,243,242.6,246.6,249.2,249.1,251.1,251.6,248.8,243.6,244.9,246.9,240.1,238.6,240.1,239.5,245.4,242.2,240.2,244.6,245.5,247.9,247.1,243.1,238.5,240.3,240.6,240.1,240.2,243.2
204.5,209,213.8,218.3,221.3,217.1,213.2,213.4,212.3,211.4,209.8,206.8,206.9,206.4,211.2,214.3,217.3,223.9,223.2,222.5,221.4,223.2,219.9,219.6,220.8,220.7,218.2,217.1,217.7,222.8,226.6,234.2,240.1,236.8,235.7,225.2,214.9,207,201.4,199.3,198,196.3,199.4,196.9,192.4,194.9,192.9,193.1,195.5,196.4,196.3,196.6,197.6,198.5,197.2,196.5,199.6,203.2,205.6,214.1,224.5,230.8,264.2,233.6,214.1,196.4,183.8,170.7,158.3,144.3,127.2,141.9,158.9,166.7,178.2,188.7,197.6,203.8,207.6,210.4,213.1,216.7,219.2,217.6,217.6,216.9,210.3,206.4,203.1,203.5,208.9,215.9,220.1,225.3,227.1,228.5,226.7,226.2,210.4,194.2,188.7,188,187.8,189.3,190.2,191.8,187.5,185.1,185.7,188.1,190.7,191.9,194.6,196.4,196.1,194.7,193.9,195.6,199.9,206.4,215,225,231.7,234.7,237.1,237.3,229.1,218.2,206.9,201.9,196.7,197.4,201.5,204.8,196.3,190.8,189.4,187.5,188.2,189.5,187.4,185,181.7,178.5,178,180.6,187.7,187,193.7,198.1,202.2,206.6,210.8,214.5,217.7
266.8,264.3,262,255.7,252.7,254.5,254.2,253.8,258,258.5,258.8,257.8,254.5,253.3,256.7,261.6,258.9,264.7,265.8,266.2,270.4,274.1,271.8,270.5,269.9,267.7,264.7,264.8,264.8,267.3,265.1,262.2,257.8,254.2,253.5,248,251.3,249.5,253.2,253.6,252.3,253.4,253.5,253.5,255.4,258.7,260.1,259.5,261.1,263.6,264.6,257.6,257.2,250.7,255.8,250.1,249.9,252.6,251.1,251.1,248.9,248.1,245.4,248.8,245.8,247.3,243.9,246.1,246.6,246.6,246.3,248.4,247.1,249.4,249.3,251.7,256,260.4,260.1,262.3,262.9,268,262.6,271.9,271.2,267.2,268.9,269,267.9,271.1,274.3,275.6,278.1,280.7,279.8,277.4,277.8,278.9,277.5,280,283.9,286.5,293.2,285.1,277,275.9,273,276.7,279.6,281,282.6,276,272.8,282,280.2,276.7,276.2,276.8,279.6,281.9,280.6,282.2,278.8,278,276.8,269,267.6,268.5,264.5,269.2,275.7,282.8,282.2,278.9,275,275.4,278.6,273.5,271.1,269.7,271,272.5,277.9,278.5,283.4,287.2,289,291.7,291.8,291.1,291.8,291,287.4,287.2,286.3
92.9,101.5,100,101.5,102.3,101.9,99.6,96.7,96.8,95.5,96,96.2,93.4,90.7,89.7,89.1,87.7,86.5,85.8,83.8,82.9,81.6,81,80.2,80.4,82.6,82.8,82.6,83.9,83.6,83.2,85,87.2,88.4,89.8,90.5,92.8,93,97,99.1,102,103,104.1,106.6,108.7,108.5,109.2,112.6,111.1,108.3,105.3,101.1,96.6,97.6,96,99.6,99.7,98.1,92.3,91.2,89.8,87.8,88.1,86.5,87.2,88.1,87.6,87.7,88.2,88,87.6,87.3,89.5,88.9,89.8,90.9,91.2,91.7,89.9,89.9,87.1,84.2,82.6,81,80.1,79.2,78.9,78.9,82,82.1,81.1,81.2,80.8,80.9,81.4,82,82.6,82.1,84.9,87,88.3,89.6,91.3,92.1,92.5,93.4,90.9,89.7,89.4,90.8,89.2,94.2,94.7,95.3,97.5,101.9,105.7,105.7,106,105.4,103.9,103.9,104.3,103.3,104.3,103.2,103.5,104.4,104.7,103.8,102.1,100.5,97.9,96.5,96.7,96.4,95.5,95.2,96.6,96.1,94.3,93.9,93.6,94.6,95.1,94.9,95.2,93.1,93.1,93.3,93,91.9,91.3,90,89.7
208.3,237.5,238,235,225.5,211.5,211.1,210.9,206.8,202.7,202.9,200.2,195.2,192.1,189.6,188.1,189.2,193.4,194.6,197.2,200.6,201.3,213.7,213.7,210.3,206.6,208.3,207.3,208.4,209.2,217.3,221,220.8,221.2,221.7,219.1,214.8,211,207.1,206.9,201.3,198.6,200.7,198.8,197.5,194.3,191.6,193.4,206.4,200.7,205.7,215.5,214.8,212.1,213.4,213.6,199.1,193.8,195.8,196.5,187.8,182.3,175.3,166.1,151.8,139.7,137.9,149.9,153,157.2,165.5,171,175.1,187.2,191.8,201.7,205.5,209.4,214.9,214.1,213.8,211.7,209.4,205.9,206.9,203.7,203.5,202,202.3,205.7,206.3,211,213,213.9,208.5,210.7,209.7,213.7,211,210.2,208.7,210.3,211.5,215.6,219.3,219.8,221.4,222.2,221.8,221.3,221.3,222.6,220.6,223.3,223.6,224.7,222,220.4,218.2,219.7,219.6,218.2,219.4,221.5,216.2,211.6,206.6,206.2,209.1,210.3,210.2,209.4,213,214.2,220.9,227.3,231.7,232.4,237.8,237.9,232.4,229.9,225.8,220.5,219.6,221.2,223.5,225.5,230,229.2,230.3,231.2,226.8,226.1,222.5
281.5,298,297.9,313.2,321.8,318.6,301.7,300.2,300.8,299.2,296.3,293.6,281.1,278.9,276.5,276.7,276.1,275.3,274.7,283,285.3,284.7,287.9,281.7,281.7,278.6,270,271.9,275.3,272.8,263.2,265.9,265,263.8,265.7,268.1,274.8,278.3,276.7,276.2,282.6,281.5,285.1,285,282.3,278.8,277.8,277.5,285.8,286.6,289.6,290,304.1,306.3,296.1,288,287.3,286.5,285,280.3,275,267.5,260.5,265.2,272.4,275.9,276.8,272.6,274,274,270.8,273.5,273.3,274.8,275.8,275.5,280.8,278.2,276.5,275.5,268,269.4,277.4,284.2,284.1,281.8,283.1,287,284.1,284.9,288.2,283.7,281.6,271.6,272.7,279.9,282.1,281.9,284.9,285.1,284.9,280.7,275.8,275,279.5,278.8,281.1,279.2,277.6,279.1,285.2,283.9,282.2,280.1,278.6,277.7,277.4,277.2,278.3,279.1,280.9,280.9,280.5,281.3,273,280,283.2,284.2,285,282.1,283.3,281.9,282.3,279.2,278.9,277.8,277,271.5,271,273.3,276.1,284.7,286.1,293.6,286.7,287,287,287.6,290.8,292.1,292.4,289.9,281.5,282.6,282.5
